lang,memory size,std dev,mean,median,95%-tile,99%-tile,min,max
csharp1,128,519.3267761313,5042.81355,4958.955,5770.83,6519.25,4349.1,9808.72
csharp1,256,244.7185175071,2454.99545,2434.04,2952.23,3077.24,2126.86,3099.65
csharp1,512,157.7135000961,1261.6599,1227.45,1532.07,1768.22,1028.31,1834.62
csharp1,1024,93.8704771239,611.24595,600.765,798.75,921.96,512.36,1239.22
csharp1,1536,118.409332983,434.37545,417.27,598.59,1041.74,342.05,1602.12
csharp1,3000,50.1489483725,366.8805,387.46,416.53,489.64,303.06,729.95
csharp2,128,821.5669985797,3293.72995,3186.305,3798.86,10159.01,2725.37,11300.92
csharp2,256,152.9597221681,1598.1173,1586.94,1903.55,2046.19,1343.06,2229.79
csharp2,512,165.3795685224,834.7226,798.2,1112.03,1624.63,660.59,2040.43
csharp2,1024,138.3139017222,431.00565,404.975,573,1447.94,314.88,1742.8
csharp2,1536,492.0869794239,374.3448,298.98,744.26,1334.15,218.95,6867.15
csharp2,3000,424.4479244548,336.73405,280.115,588.61,1993.51,211.55,5780.29
golang,128,6.2787822492,8.665,9.43,18.25,20.07,0.55,32.73
golang,256,30.0219748894,9.63715,7.7,19.05,35.67,0.5,421.88
golang,512,0.4172896034,0.8852,0.795,1.48,3.81,0.54,4.39
golang,1024,6.7325426169,1.31375,0.8,1.3,2.01,0.53,96.01
golang,1536,0.2428896341,0.85105,0.8,1.32,1.94,0.54,2.59
golang,3000,0.1422874771,0.79995,0.78,1.05,1.19,0.55,1.32
java,128,302.9152779069,5436.45015,5415.775,5981.82,6307.68,4032.65,6624.86
java,256,171.3183496756,2704.3097,2675.69,3015.63,3215.68,1781.94,3289.24
java,512,165.4415287306,1364.86435,1313.45,1586.29,1759.5,1178.59,3058.61
java,1024,52.9377296694,666.9666,653.235,783.89,854.91,581.25,864.92
java,1536,37.1113730293,449.30935,438.945,529.46,578.28,390.16,618.06
java,3000,24.1535067866,346.8744,360.615,377.78,389.76,313.14,398.81
nodejs4,128,13.2734541989,7.04975,1.62,19.43,106.95,0.31,110.35
nodejs4,256,7.4950284492,5.27945,1.475,20.29,36.25,0.3,36.86
nodejs4,512,7.3161459551,5.99135,2.265,19.13,34.61,0.32,39.52
nodejs4,1024,6.5485265818,5.5219,1.315,18.61,20.12,0.39,20.71
nodejs4,1536,5.5885864629,4.7028,1.535,16.67,19.99,0.3,20.73
nodejs4,3000,3.3338238835,2.16915,0.54,10.23,15.71,0.31,15.79
nodejs6,128,10.2143142043,7.5021,3.155,20.31,57.42,0.35,75.07
nodejs6,256,10.3822295171,7.45955,2.365,23.08,60.88,0.25,78.64
nodejs6,512,6.6953656662,5.15295,0.93,17.73,31.57,0.27,33.49
nodejs6,1024,5.4366538038,4.4812,1.06,15.39,19.91,0.35,20.19
nodejs6,1536,6.1561711798,4.16715,0.56,18.37,23.43,0.3,25.04
nodejs6,3000,3.2163507049,1.73205,0.43,10.22,16,0.28,17.88
python2,128,9.5843232918,4.84445,0.45,20.04,49.04,0.26,74.09
python2,256,6.4421681232,4.02015,0.68,17.5,21.3,0.32,56.32
python2,512,5.8747275536,5.1123,1.785,17.69,25.58,0.25,26.48
python2,1024,4.5546842173,3.22435,0.545,13.56,16.94,0.25,18.05
python2,1536,4.797750199,3.50125,0.68,14.22,18.29,0.3,18.75
python2,3000,2.7386936988,1.4048,0.45,8.11,16.85,0.28,18.07
python3,128,8.340402771,4.8211,1.24,17.59,54.02,0.27,59.47
python3,256,6.6812484313,4.52945,0.905,18.17,34.61,0.43,48.04
python3,512,6.4020821919,4.6083,0.76,18.4,26.76,0.43,28.71
python3,1024,4.8762475211,3.56725,0.615,14.78,18.87,0.24,19.95
python3,1536,4.7067662487,3.19335,0.62,13.71,19.28,0.38,20.59
python3,3000,4.0695730194,2.97025,0.755,12.19,18.02,0.34,18.6
